,FRP,MOs,ACAd,ACAv,PL,ILA,ORBl,ORBm,ORBvl,AId,AIv,AIp,GU,VISC,SSs,SSp-bfd,SSp-tr,SSp-ll,SSp-ul,SSp-un,SSp-n,SSp-m,MOp,VISal,VISl,VISp,VISpl,VISli,VISpor,VISrl,VISa,VISam,VISpm,RSPagl,RSPd,RSPv,AUDd,AUDp,AUDpo,AUDv,TEa,PERI,ECT
VISC,0.000205828,0.000173759,3.70E-05,2.12E-05,9.21E-05,9.39E-05,0.000134817,5.22E-05,5.06E-05,0.000555673,0.000214104,0.001079282,0.000910546,0.001483327,0.000524166,7.03E-05,1.40E-05,2.64E-05,0.00011058,0.000120269,0.000236903,0.000290478,0.000204573,1.94E-05,1.57E-05,1.45E-05,2.36E-05,1.82E-05,3.77E-05,1.78E-05,1.55E-05,1.80E-05,1.92E-05,2.05E-05,1.78E-05,1.11E-05,6.46E-05,4.31E-05,1.77E-05,0.000113094,0.000331485,0.000385495,0.000833178
SSs,0.000133499,0.000228545,3.12E-05,1.06E-05,3.95E-05,2.84E-05,0.000104283,2.25E-05,4.14E-05,0.000194796,6.16E-05,0.000243734,0.000644753,0.000732551,0.001228506,0.000477265,0.000154401,0.000132892,0.000388468,0.00038016,0.000808028,0.000472811,0.000343759,0.000247306,6.11E-05,2.62E-05,2.25E-05,0.000118083,5.24E-05,0.000148545,0.00017447,0.00012804,6.69E-05,4.03E-05,1.33E-05,5.94E-06,0.000874261,0.000681814,0.000492174,0.000386903,0.000207553,0.000162543,0.000211677
SSp-bfd,5.76E-05,0.000303635,9.33E-05,7.34E-06,3.05E-05,7.57E-06,0.000124214,1.67E-05,0.000105885,1.38E-05,1.53E-05,1.84E-05,1.52E-05,0.000175062,0.000712453,0.001863583,0.000639437,0.000356541,0.000479511,0.000916302,0.000474272,7.02E-05,0.000196596,0.000561106,0.000139022,6.37E-05,2.33E-05,0.00018998,9.78E-05,0.000700427,0.000750611,0.000227594,9.78E-05,6.05E-05,5.53E-05,2.32E-05,0.000683282,0.000201742,0.000307734,0.000224378,0.000270707,0.000126739,0.000131796
SSp-tr,7.13E-06,0.0001473,0.000236173,6.55E-05,5.62E-05,2.21E-05,6.19E-05,4.70E-05,0.000163723,4.43E-06,6.50E-06,2.49E-06,4.18E-06,2.08E-05,0.000235969,0.000600319,0.002455479,0.001609073,0.000552324,0.000750937,3.20E-05,4.57E-06,0.000236225,0.000405927,0.0001626,0.000114186,4.29E-05,0.000194129,7.04E-05,0.000417584,0.001257496,0.000881636,0.000362832,0.000495051,0.000227531,0.000116284,0.000583166,9.16E-05,0.000221112,0.000214449,9.52E-05,1.54E-05,2.32E-05
SSp-ll,8.19E-06,0.000111526,0.00010819,2.40E-05,2.78E-05,7.24E-06,2.57E-05,1.15E-05,3.26E-05,3.85E-06,5.02E-06,3.76E-06,5.10E-06,2.79E-05,0.000208218,0.000178213,0.001044089,0.001973795,0.000871475,0.000380965,3.92E-05,9.35E-06,0.000390109,4.95E-05,1.43E-05,1.17E-05,2.56E-06,1.72E-05,9.81E-06,7.60E-05,0.000299025,5.56E-05,1.99E-05,0.000141378,2.85E-05,1.59E-05,0.000295734,2.83E-05,4.12E-05,0.000146637,5.19E-05,1.68E-05,2.60E-05
SSp-ul,0.000112712,0.000272546,3.81E-05,1.55E-05,1.23E-05,2.52E-06,2.56E-05,4.10E-06,1.66E-05,2.34E-05,2.92E-06,2.03E-05,1.73E-05,0.000149415,0.000324861,0.000234474,0.000293003,0.001094377,0.00127371,0.000726822,0.00064485,0.000367834,0.000629549,3.33E-05,5.70E-06,6.05E-06,7.65E-07,7.88E-06,4.00E-06,6.00E-05,0.000168187,2.03E-05,1.02E-05,2.70E-05,1.41E-05,6.60E-06,0.000123943,1.67E-05,1.97E-05,6.02E-05,2.68E-05,2.20E-05,3.52E-05
SSp-un,0.000212758,0.00041538,5.45E-05,6.62E-06,1.73E-05,2.62E-06,5.04E-05,8.25E-06,3.71E-05,1.89E-05,2.42E-06,1.44E-05,6.02E-06,0.000202244,0.000412086,0.00063557,0.000557924,0.00075705,0.000941199,0.0014638,0.001825737,0.000558464,0.000563636,0.000117659,1.96E-05,2.13E-05,2.41E-06,2.86E-05,1.12E-05,0.000206055,0.000488557,6.47E-05,3.56E-05,5.20E-05,4.35E-05,1.70E-05,0.00022363,4.15E-05,6.40E-05,7.89E-05,4.54E-05,3.10E-05,4.38E-05
SSp-n,0.000366953,0.000623099,9.25E-06,4.44E-06,1.19E-05,3.64E-06,8.29E-05,3.63E-06,1.32E-05,5.84E-05,8.88E-06,4.87E-05,5.48E-05,0.000456734,0.000635521,0.000308622,1.41E-05,4.37E-05,0.000371885,0.000728208,0.003388702,0.000900978,0.000516559,1.27E-05,2.21E-06,1.80E-06,3.48E-07,4.85E-06,3.88E-06,3.13E-05,1.40E-05,3.92E-06,1.80E-06,1.16E-06,1.15E-06,6.59E-07,9.11E-05,3.89E-05,8.76E-06,5.70E-05,4.44E-05,7.09E-05,7.10E-05
SSp-m,0.000226887,0.00048891,1.62E-06,6.11E-06,6.49E-06,1.58E-06,2.60E-05,1.60E-06,2.20E-06,0.000243979,1.56E-05,0.00011365,0.000635552,0.000522855,0.000480216,1.69E-05,5.20E-07,3.13E-06,0.000144042,0.000212301,0.000918288,0.002027836,0.000784524,2.42E-07,3.57E-07,3.14E-07,4.20E-07,1.56E-07,8.08E-07,1.26E-07,3.98E-07,4.23E-07,2.13E-07,6.84E-07,3.87E-07,1.88E-07,2.87E-06,1.73E-06,5.77E-07,2.61E-06,3.66E-06,2.86E-05,2.39E-05
MOp,0.000256879,0.000547313,6.41E-05,6.32E-05,3.22E-05,7.84E-06,7.07E-05,1.19E-05,2.45E-05,0.000266047,4.33E-05,7.66E-05,0.000244804,0.000269759,0.0003389,6.25E-05,0.000136413,0.000442096,0.000594989,0.000296048,0.000203398,0.000801304,0.000949471,1.68E-05,6.73E-06,4.59E-06,3.13E-06,7.95E-06,6.47E-06,2.83E-05,5.86E-05,2.12E-05,7.14E-06,2.87E-05,1.31E-05,8.27E-06,6.83E-05,7.92E-06,1.09E-05,3.12E-05,2.27E-05,2.96E-05,3.64E-05
VISal,2.42E-06,8.34E-05,0.000283875,8.19E-05,1.94E-05,1.01E-05,5.85E-05,3.32E-05,0.000248642,6.39E-06,1.36E-05,7.92E-06,5.52E-06,2.28E-05,0.000212858,0.000317184,0.000543677,0.000104883,3.60E-05,6.67E-05,4.44E-06,1.82E-06,2.93E-05,0.004748123,0.003287027,0.001338419,0.000826447,0.002773038,0.001369287,0.001509209,0.001330027,0.002102912,0.001453657,0.000496492,0.000355373,8.14E-05,0.002833529,0.001975433,0.004134449,0.000751838,0.000850838,7.24E-05,8.86E-05
VISl,2.53E-06,3.81E-05,0.000176909,7.99E-05,1.99E-05,9.63E-06,2.94E-05,3.48E-05,0.00015179,5.34E-06,1.40E-05,1.34E-05,5.83E-06,1.01E-05,3.02E-05,8.77E-05,0.000114939,3.16E-05,6.83E-06,1.08E-05,1.87E-06,1.17E-06,8.88E-06,0.002106995,0.003517576,0.001627692,0.00173368,0.003096968,0.002249161,0.000845311,0.000418436,0.001177435,0.001185571,0.000585381,0.000410014,8.93E-05,0.000387488,0.000319538,0.000850882,0.000188523,0.000486306,9.01E-05,0.000162652
VISp,2.99E-07,1.21E-05,7.16E-05,3.99E-05,5.24E-06,3.25E-06,5.00E-06,8.21E-06,4.65E-05,1.24E-06,2.25E-06,2.21E-06,1.89E-06,1.58E-06,4.35E-06,3.68E-05,2.84E-05,8.82E-06,1.82E-06,3.68E-06,1.09E-06,1.11E-06,2.60E-06,0.000693496,0.001064921,0.00117793,0.000694372,0.000746927,0.000456775,0.000588918,0.000141611,0.000456843,0.000629016,0.000339832,0.00023547,6.53E-05,3.47E-05,2.15E-05,9.24E-05,1.10E-05,6.03E-05,1.12E-05,1.73E-05
