mouse,probe_position,stim_current,stim_freq,unitID,peak_ch,waveform_duration,waveform_REP,transient_type,transient_onset,transient_offset,transient_peak_value,meanFR_pre_10s,stdFR_pre_10s,meanFR_pre_1s,stdFR_pre_1s,meanFR_stimOn_10s,meanFR_stimOn_1s,meanFR_stimOn_01s,meanFR_stimOn_last_01s,meanFR_stimOn_last_1s,area_peak_ch,depth_peak_ch,error_waveform,area_stim_tip,distance_peakch_stim_tip
mouse577578,close,1,sine_140Hz,0,0,0.5219430485762143,0.9408773584733452,,,,,5.7920807421587766,3.757840657713454,6.591139718529688,3.623025362290975,5.520228290031196,5.574284909980937,3.3427405382555646,5.363725384329049,4.315772372098075,PCN,3600,0.0216462483856074,SSp-tr6a,3.002498959200486
mouse577578,close,1,sine_140Hz,398,0,0.4944723618090452,0.903739348055001,,,,,2.24098080594915,2.282094618600195,2.2,1.904223738079761,1.8642440696426965,2.5,1.3995016714365731,0.5410626444380098,1.9424406964269696,PCN,3600,0.0262067360937799,SSp-tr6a,3.002498959200486
mouse577578,close,1,sine_140Hz,5,1,0.8241206030150753,0.3350265795156329,,,,,5.704790812472609,4.48578011170539,8.359970573543142,4.818175823210904,4.501278387330694,5.4268897932230935,3.789054223415716,7.136600352282069,3.5543688548563925,PCN,3600,0.0256177103187355,SSp-tr6a,3.002498959200486
mouse577578,close,1,sine_140Hz,3,1,0.6867671691792295,0.4163802138727573,,,,,14.264148371801172,7.453813855408411,19.88379670127732,5.362637877913701,9.987501581347002,16.32056668144105,15.876600382510413,8.92482010617357,8.043335342540262,PCN,3600,0.0254684121300131,SSp-tr6a,3.002498959200486
mouse577578,close,1,sine_140Hz,399,2,0.5082077051926298,0.6478762764569226,,,,,3.920745448404272,3.591783155069712,4.209203276654435,2.9637175417820183,3.862507729267262,3.4786235535750736,1.0,7.431374743510239,3.740298911569209,PCN,3580,0.0233438081940648,SSp-tr6a,2.978359447749717
mouse577578,close,1,sine_140Hz,9,2,0.4944723618090452,0.461962357941578,,,,,2.2439135465313576,2.180610116236524,2.4663209923024505,1.921330699166521,1.9537484419040767,2.582434393942253,3.374844190407661,2.0709803199499626,2.2200748845322638,PCN,3580,0.0295153780216919,SSp-tr6a,2.978359447749717
mouse577578,close,1,sine_140Hz,10,3,0.3845896147403685,0.4564067227830474,,,,,13.479314533149712,4.741663898485416,14.288646704441334,4.314877466597567,11.913097896677332,14.566116787105722,12.503289024279372,11.742140907151468,13.54029307965361,PCN,3580,0.0244733036443813,SSp-tr6a,2.978359447749717
mouse577578,close,1,sine_140Hz,6,5,0.4807370184254606,0.4757654450106094,,,,,17.525973161024723,6.157607634213971,17.727729830639134,5.996876173158487,16.79785831415064,19.634397868838192,19.844837731833508,22.969244818794355,19.780437498149432,CL,3560,0.019633590260453,SSp-tr6a,2.9544458025152536
mouse577578,close,1,sine_140Hz,11,5,0.370854271356784,0.5931562692393181,,,,,15.708577230981678,10.469711892097926,19.17055768949456,7.6185794525525345,13.287176198146108,20.172851413642945,17.764143599001642,28.231831836041536,12.132069868694618,CL,3560,0.021428783495353,SSp-tr6a,2.9544458025152536
mouse577578,close,1,sine_140Hz,15,6,0.4257956448911223,1.002564674739355,,,,,15.666372387704657,4.083905022050078,15.853027643442667,4.197920762475447,15.140454852500564,17.155935509802706,15.974060888345914,15.200190926258928,14.492234656979068,CL,3540,0.0095958161908805,SSp-tr6a,2.9544458025152536
