cluster,mouse,probe_position,unitID,waveform_halfwidth,waveform_duration,waveform_REP,distance_peakch_stim_tip,universal_ID
1,mouse598183,close,27,0.2686768676867687,0.4703870387038703,0.1495949594959498,2.2042572445157123,mouse598183close27
0,mouse598183,close,30,0.0988298829882988,0.2765076507650765,0.2127812781278127,2.1699654375127735,mouse598183close30
0,mouse598183,close,38,0.0999099909990999,0.1603960396039604,0.13609360936093598,2.1521791282325924,mouse598183close38
1,mouse598183,close,42,0.1514851485148515,0.3410441044104411,0.311881188118812,2.0837166314064883,mouse598183close42
1,mouse598183,close,46,0.1239423942394239,0.2808280828082808,0.20900090009000896,2.0495426319059566,mouse598183close46
0,mouse598183,close,49,0.0791179117911791,0.1450045004500451,0.1304230423042304,2.0256171898954647,mouse598183close49
1,mouse598183,close,50,0.1355535553555354,0.2732673267326733,0.1973897389738974,2.0256171898954647,mouse598183close50
1,mouse598183,close,53,0.1379837983798379,0.5279027902790281,0.3540054005400539,1.9913877071027632,mouse598183close53
1,mouse598183,close,51,0.1657965796579658,0.2667866786678667,0.2017101710171017,1.9913877071027632,mouse598183close51
1,mouse598183,close,523,0.1539153915391539,0.3540054005400541,0.3248424842484247,1.9738920943151883,mouse598183close523
1,mouse598183,close,58,0.1501350135013501,0.2675967596759676,0.2235823582358235,1.957198252604984,mouse598183close58
0,mouse598183,close,60,0.1450045004500451,0.2184518451845185,0.1722772277227722,1.9397164741270825,mouse598183close60
1,mouse598183,close,62,0.2184518451845184,0.3783078307830783,0.338883888388839,1.9397164741270825,mouse598183close62
0,mouse598183,close,63,0.0934293429342935,0.2162916291629163,0.1204320432043204,1.9397164741270825,mouse598183close63
1,mouse598183,close,64,0.1558055805580558,0.3680468046804681,0.2357335733573357,1.9397164741270825,mouse598183close64
0,mouse598183,close,420,0.1171917191719171,0.2073807380738074,0.1590459045904589,1.905583900015951,mouse598183close420
1,mouse598183,close,69,0.1261026102610261,0.3064806480648065,0.2667866786678667,1.888286260078169,mouse598183close69
1,mouse598183,close,70,0.1231323132313231,0.33996399639964,0.2775877587758777,1.8714967272212903,mouse598183close70
1,mouse598183,close,72,0.1242124212421241,0.2819081908190819,0.2011701170117011,1.8714967272212903,mouse598183close72
1,mouse598183,close,423,0.1598559855985598,0.2400540054005401,0.1728172817281729,1.8714967272212903,mouse598183close423
1,mouse598183,close,74,0.1655265526552655,0.2694869486948694,0.1976597659765977,1.8374574825012957,mouse598183close74
1,mouse598183,close,75,0.1404140414041403,0.3051305130513052,0.1855085508550854,1.8374574825012957,mouse598183close75
1,mouse598183,close,76,0.1285328532853286,0.2468046804680468,0.2327632763276328,1.8374574825012957,mouse598183close76
0,mouse598183,close,424,0.1069306930693069,0.1871287128712871,0.1398739873987399,1.8201991649267395,mouse598183close424
0,mouse598183,close,82,0.1093609360936094,0.17605760576057602,0.1444644464446445,1.7691806012954132,mouse598183close82
1,mouse598183,close,85,0.1369036903690369,0.2802880288028804,0.2146714671467147,1.7691806012954132,mouse598183close85
1,mouse598183,close,427,0.1587758775877588,0.2054905490549056,0.1954995499549955,1.7352953639078277,mouse598183close427
1,mouse598183,close,90,0.1657965796579658,0.2308730873087309,0.2176417641764175,1.7352953639078277,mouse598183close90
1,mouse598183,close,37,0.1863186318631863,0.2594959495949595,0.1720072007200721,2.1521791282325924,mouse598183close37
0,mouse598183,close,61,0.0783078307830782,0.1382538253825382,0.1293429342934293,1.9397164741270825,mouse598183close61
0,mouse638330,close,38,0.0947794779477947,0.1641764176417642,0.1398739873987399,2.4725998463156147,mouse638330close38
0,mouse638330,close,40,0.0912691269126912,0.1549954995499549,0.1312331233123312,2.4725998463156147,mouse638330close40
1,mouse638330,close,50,0.2365436543654366,0.3237623762376238,0.1887488748874888,2.351993835025934,mouse638330close50
0,mouse638330,close,51,0.0931593159315932,0.1598559855985598,0.1536453645364537,2.351993835025934,mouse638330close51
1,mouse638330,close,52,0.1954995499549955,0.2972997299729973,0.2081908190819082,2.351993835025934,mouse638330close52
1,mouse638330,close,55,0.2087308730873087,0.314041404140414,0.2063006300630063,2.2986409027945185,mouse638330close55
0,mouse638330,close,64,0.1153015301530152,0.16795679567956798,0.1452745274527452,2.2788429081443944,mouse638330close64
1,mouse638330,close,65,0.1498649864986498,0.2522052205220522,0.2360036003600361,2.265226258014859,mouse638330close65
0,mouse638330,close,66,0.1117911791179118,0.1776777677767776,0.1655265526552655,2.265226258014859,mouse638330close66
0,mouse638330,close,67,0.1015301530153015,0.1868586858685869,0.164986498649865,2.2385821405523636,mouse638330close67
0,mouse638330,close,75,0.1007200720072006,0.1838883888388839,0.164986498649865,2.1716928880484,mouse638330close75
0,mouse638330,close,76,0.1023402340234023,0.1890189018901891,0.1563456345634563,2.1716928880484,mouse638330close76
0,mouse638330,close,74,0.1088208820882088,0.1514851485148515,0.1352835283528353,2.151888705300532,mouse638330close74
0,mouse638330,close,79,0.1342034203420342,0.2181818181818182,0.1892889288928892,2.151888705300532,mouse638330close79
1,mouse638330,close,78,0.1277227722772277,0.254905490549055,0.2878487848784878,2.151888705300532,mouse638330close78
0,mouse638330,close,408,0.1134113411341134,0.1674167416741674,0.1965796579657966,2.151888705300532,mouse638330close408
0,mouse638330,close,409,0.1231323132313232,0.1792979297929793,0.1701170117011701,2.1185195302380393,mouse638330close409
1,mouse638330,close,81,0.1444644464446444,0.2497749774977498,0.2233123312331234,2.098809186181536,mouse638330close81
0,mouse657902,close,48,0.1366336633663366,0.2235823582358236,0.16903690369036903,2.6773354291160456,mouse657902close48
0,mouse657902,close,54,0.1315031503150314,0.1976597659765976,0.1871287128712873,2.5889186931999237,mouse657902close54
0,mouse657902,close,55,0.1042304230423042,0.1925292529252925,0.1495949594959496,2.5889186931999237,mouse657902close55
1,mouse657902,close,413,0.1520252025202519,0.2446444644464447,0.1803780378037802,2.553673824120849,mouse657902close413
0,mouse657902,close,60,0.1171917191719171,0.1641764176417641,0.1398739873987399,2.5006249218945253,mouse657902close60
0,mouse657902,close,61,0.1420342034203421,0.2297929792979298,0.1439243924392439,2.4829418035870274,mouse657902close61
1,mouse657902,close,65,0.2368136813681368,0.7703870387038704,0.0240324032403242,2.4457871943405056,mouse657902close65
1,mouse657902,close,67,0.1269126912691269,0.3334833483348335,0.2848784878487849,2.4105238019982296,mouse657902close67
0,mouse657902,close,417,0.1136813681368137,0.1844284428442844,0.1595859585958595,2.375263143316967,mouse657902close417
0,mouse657902,close,92,0.1012601260126012,0.1803780378037804,0.1441944194419442,2.252498612652181,mouse657902close92
1,mouse657902,close,91,0.1711971197119711,0.2654365436543654,0.1433843384338434,2.252498612652181,mouse657902close91
1,mouse657902,close,95,0.14203420342034198,0.2694869486948695,0.2387038703870387,2.1982947936980612,mouse657902close95
0,mouse657902,close,422,0.1244824482448244,0.1795679567956796,0.1614761476147614,2.1982947936980612,mouse657902close422
0,mouse657902,close,97,0.1188118811881188,0.21494149414941502,0.1625562556255626,2.1982947936980612,mouse657902close97
0,mouse657902,close,99,0.1061206120612061,0.16903690369036903,0.1609360936093609,2.163041839632327,mouse657902close99
1,mouse657902,close,101,0.187938793879388,0.3537353735373538,0.2314131413141313,2.163041839632327,mouse657902close101
0,mouse657902,close,102,0.0999099909990999,0.1736273627362736,0.1336633663366336,2.1277922830953213,mouse657902close102
0,mouse657902,close,107,0.1004500450045005,0.261926192619262,0.2152115211521152,2.1108351427811693,mouse657902close107
0,mouse657902,close,109,0.1204320432043204,0.2152115211521152,0.1733573357335732,2.075602322218782,mouse657902close109
0,mouse657902,close,108,0.0815481548154816,0.1493249324932494,0.1198919891989198,2.075602322218782,mouse657902close108
0,mouse657902,close,427,0.1101710171017101,0.1747074707470747,0.1585058505850586,2.075602322218782,mouse657902close427
1,mouse657902,close,114,0.1606660666066607,0.3132313231323133,0.2341134113411341,2.0403737402740707,mouse657902close114
1,mouse657902,close,117,0.1614761476147614,0.2681368136813682,0.2681368136813682,2.0236106344848057,mouse657902close117
