cluster,mouse,probe_position,unitID,waveform_halfwidth,waveform_duration,waveform_REP,distance_peakch_stim_tip,universal_ID
1,mouse577578,close,358,0.0677767776777677,0.1468946894689469,0.0526552655265526,0.414578098794425,mouse577578close358
1,mouse577578,close,361,0.1072007200720072,0.3102610261026103,0.223852385238524,0.4168333000133266,mouse577578close361
0,mouse577578,close,368,0.1909090909090909,0.8692169216921692,0.4117911791179119,0.4205650960315181,mouse577578close368
0,mouse598183,far,130,0.2767776777677767,0.9367236723672367,0.3945094509450948,2.1102428770167667,mouse598183far130
1,mouse598183,far,133,0.1288028802880287,0.2157515751575157,0.1990099009900989,2.10535032714273,mouse598183far133
0,mouse598183,far,333,0.1728172817281729,0.6577857785778579,0.2927092709270926,2.075602322218782,mouse598183far333
1,mouse598183,far,149,0.1228622862286228,0.2125112511251126,0.200900090009001,2.0901554966078484,mouse598183far149
0,mouse598183,far,335,0.1825382538253825,0.5954095409540955,0.3394239423942395,2.0901554966078484,mouse598183far335
0,mouse598183,far,150,0.1612061206120612,0.5713771377137714,0.2816381638163816,2.0901554966078484,mouse598183far150
0,mouse598183,far,155,0.2125112511251125,0.5721872187218723,0.3364536453645363,2.0873128658636686,mouse598183far155
1,mouse598183,far,157,0.1393339333933393,0.2497749774977498,0.2127812781278127,2.0847661739389385,mouse598183far157
0,mouse598183,far,156,0.2351935193519352,0.5527452745274527,0.3550855085508553,2.0847661739389385,mouse598183far156
1,mouse598183,far,159,0.1455445544554455,0.2397839783978398,0.2419441944194419,2.0697222035819203,mouse598183far159
0,mouse598183,far,161,0.1717371737173717,0.5967596759675968,0.352925292529253,2.0697222035819203,mouse598183far161
0,mouse598183,far,337,0.1790279027902791,0.5470747074707473,0.2864986498649864,2.0660953511394387,mouse598183far337
0,mouse598183,far,164,0.14905490549054903,0.6378037803780379,0.4620162016201622,2.0660953511394387,mouse598183far164
1,mouse598183,far,338,0.1463546354635463,0.2962196219621963,0.2322232223222321,2.0660953511394387,mouse598183far338
0,mouse598183,far,168,0.2198019801980199,0.5762376237623764,0.3364536453645363,2.0660953511394387,mouse598183far168
0,mouse598183,far,169,0.1412241224122412,0.5567956795679568,0.3121512151215122,2.0647336389955973,mouse598183far169
0,mouse598183,far,171,0.1566156615661567,0.5873087308730873,0.2746174617461747,2.0647336389955973,mouse598183far171
1,mouse598183,far,172,0.1444644464446445,0.245994599459946,0.2362736273627363,2.063673908348894,mouse598183far172
0,mouse598183,far,339,0.1668766876687668,0.4963096309630963,0.2972997299729973,2.063673908348894,mouse598183far339
0,mouse598183,far,340,0.1533753375337533,0.6064806480648066,0.3081008100810081,2.062916624587625,mouse598183far340
1,mouse598183,far,179,0.1414941494149415,0.2378937893789379,0.23492349234923496,2.062916624587625,mouse598183far179
0,mouse598183,far,177,0.1525652565256525,0.5576057605760577,0.2835283528352836,2.062916624587625,mouse598183far177
0,mouse598183,far,341,0.1811881188118811,0.5540954095409542,0.3599459945994601,2.049847555307468,mouse598183far341
0,mouse598183,far,180,0.2378937893789379,0.5019801980198021,0.3267326732673268,2.049847555307468,mouse598183far180
0,mouse598183,far,342,0.1879387938793879,0.5891989198919894,0.285958595859586,2.049847555307468,mouse598183far342
1,mouse598183,far,183,0.1363636363636363,0.2300630063006301,0.1998199819981998,2.0496950992769642,mouse598183far183
0,mouse598183,far,343,0.1787578757875787,0.6234923492349236,0.3270027002700271,2.049847555307468,mouse598183far343
0,mouse598183,far,184,0.1779477947794779,0.5835283528352835,0.3639963996399643,2.049847555307468,mouse598183far184
0,mouse598183,far,186,0.2349234923492349,0.4919891989198921,0.4606660666066605,2.049847555307468,mouse598183far186
1,mouse598183,far,190,0.1482448244824482,0.5165616561656168,0.2573357335733572,2.050304855381268,mouse598183far190
1,mouse598183,far,188,0.1495949594959496,0.3064806480648065,0.2306030603060306,2.050304855381268,mouse598183far188
0,mouse598183,far,380,0.3275427542754276,0.6310531053105312,0.3869486948694871,2.050304855381268,mouse598183far380
1,mouse598183,far,390,0.1077407740774077,0.2168316831683169,0.1738973897389739,2.050304855381268,mouse598183far390
0,mouse598183,far,192,0.2322232223222322,0.5135913591359137,0.3550855085508551,2.050304855381268,mouse598183far192
1,mouse598183,far,191,0.1066606660666066,0.1895589558955895,0.160936093609361,2.050304855381268,mouse598183far191
1,mouse598183,far,194,0.1633663366336634,0.5049504950495051,0.28406840684068396,2.050304855381268,mouse598183far194
0,mouse598183,far,346,0.2187218721872188,0.6002700270027005,0.2470747074707471,2.050304855381268,mouse598183far346
0,mouse598183,far,201,0.2292529252925292,0.5484248424842484,0.3216021602160217,2.0521330366231134,mouse598183far201
1,mouse598183,far,204,0.1668766876687669,0.3035103510351035,0.233843384338434,2.0521330366231134,mouse598183far204
0,mouse598183,far,212,0.1795679567956796,0.5081908190819083,0.3207920792079206,2.055176391456461,mouse598183far212
0,mouse598183,far,209,0.1703870387038704,0.6148514851485151,0.3855985598559858,2.055176391456461,mouse598183far209
1,mouse598183,far,208,0.1258325832583258,0.5459945994599462,0.27299729972997305,2.055176391456461,mouse598183far208
0,mouse598183,far,220,0.1814581458145815,0.5694869486948696,0.3121512151215122,2.055176391456461,mouse598183far220
1,mouse598183,far,213,0.1274527452745274,0.23897389738973898,0.1936093609360936,2.055176391456461,mouse598183far213
1,mouse598183,far,219,0.1201620162016202,0.2041404140414041,0.1738973897389739,2.0448105046678533,mouse598183far219
0,mouse598183,far,218,0.1844284428442844,0.5189918991899191,0.3286228622862286,2.0448105046678533,mouse598183far218
0,mouse598183,far,347,0.2108910891089109,0.50981098109811,0.3739873987398741,2.0448105046678533,mouse598183far347
0,mouse598183,far,353,0.1504050405040504,0.6432043204320435,0.3391539153915389,2.0471016095934282,mouse598183far353
0,mouse598183,far,228,0.1911791179117912,0.5473447344734473,0.324842484248425,2.0525898275106007,mouse598183far228
0,mouse598183,far,231,0.1752475247524753,0.5341134113411341,0.3280828082808282,2.0525898275106007,mouse598183far231
0,mouse598183,far,230,0.2046804680468047,0.5203420342034204,0.36885688568856895,2.0525898275106007,mouse598183far230
0,mouse598183,far,234,0.1771377137713771,0.5238523852385238,0.3005400540054006,2.0525898275106007,mouse598183far234
1,mouse598183,far,237,0.1549954995499549,0.5435643564356436,0.2395139513951396,2.0437404434027333,mouse598183far237
0,mouse598183,far,359,0.1806480648064806,0.5624662466246626,0.3153915391539152,2.0437404434027333,mouse598183far359
0,mouse598183,far,358,0.1898289828982898,0.5381638163816383,0.3129612961296129,2.0437404434027333,mouse598183far358
0,mouse598183,far,238,0.1242124212421242,0.5959495949594961,0.2711071107110712,2.047254258757324,mouse598183far238
0,mouse598183,far,357,0.2030603060306031,0.5162916291629164,0.3685868586858687,2.047254258757324,mouse598183far357
0,mouse598183,far,240,0.2117011701170118,0.5940594059405941,0.3629162916291631,2.047254258757324,mouse598183far240
0,mouse598183,far,242,0.1817281728172817,0.5338433843384338,0.3337533753375339,2.0768064425940134,mouse598183far242
0,mouse598183,far,243,0.1865886588658866,0.5411341134113413,0.3488748874887488,2.0768064425940134,mouse598183far243
0,mouse598183,far,362,0.1900990099009901,0.5057605760576057,0.3810081008100812,2.0768064425940134,mouse598183far362
0,mouse598183,far,360,0.1803780378037804,0.5740774077407742,0.3294329432943295,2.0811655388267414,mouse598183far360
0,mouse598183,far,363,0.1865886588658867,0.5665166516651665,0.3777677767776778,2.0858151883616154,mouse598183far363
0,mouse598183,far,252,0.2414041404140413,0.5983798379837985,0.4193519351935196,2.0858151883616154,mouse598183far252
0,mouse598183,far,249,0.1944194419441944,0.5516651665166517,0.4063906390639064,2.0858151883616154,mouse598183far249
1,mouse598183,far,255,0.1544554455445544,0.2465346534653465,0.2187218721872187,2.0858151883616154,mouse598183far255
1,mouse598183,far,253,0.1312331233123311,0.2192619261926193,0.1706570657065705,2.090753452705508,mouse598183far253
0,mouse598183,far,256,0.1917191719171918,0.5216921692169219,0.3145814581458146,2.0792125913431754,mouse598183far256
0,mouse598183,far,394,0.1379837983798379,0.587038703870387,0.2773177317731774,2.084466358567583,mouse598183far394
0,mouse598183,far,258,0.18307830783078302,0.4952295229522951,0.3116111611161116,2.084466358567583,mouse598183far258
1,mouse598183,far,262,0.1725472547254726,0.2505850585058505,0.2106210621062108,2.0900059808526867,mouse598183far262
0,mouse598183,far,263,0.1182718271827183,0.6855985598559856,0.3342934293429346,2.095829191513469,mouse598183far263
0,mouse598183,far,365,0.1909090909090909,0.5546354635463547,0.3353735373537354,2.095829191513469,mouse598183far365
0,mouse598183,far,267,0.16903690369036903,0.6270027002700271,0.3315931593159316,2.095829191513469,mouse598183far267
0,mouse598183,far,265,0.2000900090009001,0.5405940594059407,0.3656165616561655,2.095829191513469,mouse598183far265
0,mouse598183,far,264,0.2438343834383438,0.5702970297029705,0.3545454545454545,2.095829191513469,mouse598183far264
0,mouse598183,far,366,0.2000900090009001,0.5773177317731774,0.4101710171017104,2.1019336335859893,mouse598183far366
0,mouse598183,far,269,0.2044104410441044,0.5324932493249326,0.3882988298829883,2.1019336335859893,mouse598183far269
0,mouse598183,far,268,0.2238523852385239,0.5454545454545454,0.3888388838883889,2.1019336335859893,mouse598183far268
1,mouse598183,far,270,0.1034203420342033,0.1992799279927992,0.1703870387038704,2.1019336335859893,mouse598183far270
0,mouse598183,far,367,0.213051305130513,0.5454545454545455,0.4063906390639066,2.1019336335859893,mouse598183far367
0,mouse598183,far,271,0.1703870387038705,0.5181818181818183,0.2956795679567956,2.1019336335859893,mouse598183far271
0,mouse598183,far,396,0.2036003600360035,0.6580558055805581,0.3229522952295228,2.1019336335859893,mouse598183far396
0,mouse598183,far,274,0.1714671467146714,0.568946894689469,0.3261926192619262,2.1019336335859893,mouse598183far274
0,mouse598183,far,272,0.2154815481548155,0.5387038703870388,0.3745274527452746,2.1019336335859893,mouse598183far272
0,mouse598183,far,275,0.1957695769576958,0.5149414941494149,0.3766876687668767,2.108316864230801,mouse598183far275
1,mouse598183,far,368,0.1957695769576958,0.2997299729972997,0.2538253825382539,2.114976359205937,mouse598183far368
0,mouse598183,far,371,0.1568856885688568,0.7682268226822684,0.3124212421242124,2.1750000000000003,mouse598183far371
0,mouse598183,far,300,0.2171017101710172,0.7026102610261028,0.3737173717371737,2.2045407685048604,mouse598183far300
2,mouse598183,far,303,0.7620162016201619,0.986948694869487,0.2538253825382539,2.2045407685048604,mouse598183far303
1,mouse598183,far,142,0.1223222322232223,0.2797479747974798,0.2279027902790279,2.07936288319283,mouse598183far142
0,mouse598183,far,144,0.1271827182718272,0.5959495949594961,0.2616561656165617,2.075602322218782,mouse598183far144
1,mouse598183,far,146,0.130963096309631,0.5632763276327634,0.24194419441944195,2.0932928605429293,mouse598183far146
0,mouse598183,far,163,0.1374437443744375,0.3186318631863186,0.4215121512151215,2.0660953511394387,mouse598183far163
0,mouse598183,far,391,0.1401440144014402,0.5543654365436544,0.3075607560756075,2.050304855381268,mouse598183far391
0,mouse598183,far,297,0.1552655265526553,0.6712871287128713,0.3002700270027004,2.194453234862844,mouse598183far297
0,mouse598183,far,152,0.1609360936093609,0.6164716471647167,0.2864986498649864,2.0873128658636686,mouse598183far152
2,mouse598183,far,223,0.4987398739873988,0.8522052205220522,0.5189918991899192,2.0496950992769642,mouse598183far223
0,mouse598183,far,348,0.1555355535553556,0.5416741674167418,0.3442844284428443,2.055176391456461,mouse598183far348
0,mouse622179,far,123,0.1981998199819982,0.70990099009901,0.6513051305130512,2.460182920028509,mouse622179far123
0,mouse622179,far,98,0.1784878487848785,0.8511251125112513,0.322142214221422,2.467412612434329,mouse622179far98
0,mouse622180,far,143,0.2106210621062106,0.8743474347434744,0.5173717371737175,2.3738154940938445,mouse622180far143
0,mouse622180,far,145,0.1647164716471647,0.8662466246624664,0.5203420342034203,2.372893802933456,mouse622180far145
1,mouse622180,far,150,0.1031503150315031,0.2243924392439245,0.1266426642664266,2.372893802933456,mouse622180far150
1,mouse622180,far,153,0.2076507650765077,0.3737173717371738,0.334023402340234,2.372235232855292,mouse622180far153
0,mouse622180,far,287,0.2365436543654365,0.7576957695769577,0.4382538253825384,2.3717082451262845,mouse622180far287
0,mouse622180,far,288,0.2346534653465347,0.7266426642664267,0.3078307830783081,2.371840003035618,mouse622180far288
1,mouse622180,far,166,0.1171917191719171,0.34401440144014395,0.2133213321332133,2.372235232855292,mouse622180far166
0,mouse622180,far,169,0.2252025202520252,0.7350135013501351,0.3783078307830786,2.3738154940938445,mouse622180far169
1,mouse622180,far,172,0.1215121512151214,0.213051305130513,0.1763276327632763,2.376446927663229,mouse622180far172
1,mouse622180,far,178,0.1865886588658867,0.3229522952295229,0.18901890189018897,2.364053721893816,mouse622180far178
1,mouse622180,far,180,0.1285328532853286,0.2573357335733574,0.2006300630063007,2.3660357140161685,mouse622180far180
0,mouse622180,far,290,0.2011701170117011,0.6977497749774979,0.368046804680468,2.368279966558008,mouse622180far290
1,mouse622180,far,186,0.1930693069306931,0.3378037803780378,0.265976597659766,2.370785734730155,mouse622180far186
0,mouse622180,far,187,0.1933393339333934,0.6594059405940595,0.3448244824482448,2.373552190283584,mouse622180far187
0,mouse622180,far,188,0.1393339333933393,0.6882988298829885,0.2935193519351936,2.373552190283584,mouse622180far188
1,mouse622180,far,189,0.1657965796579658,0.2902790279027902,0.2524752475247526,2.3765784228592164,mouse622180far189
1,mouse622180,far,192,0.19495949594959502,0.3461746174617462,0.2584158415841584,2.3765784228592164,mouse622180far192
0,mouse622180,far,191,0.1466246624662467,0.6526552655265527,0.3278127812781278,2.3765784228592164,mouse622180far191
0,mouse622180,far,197,0.1757875787578758,0.6912691269126914,0.4450045004500452,2.379863441460455,mouse622180far197
0,mouse622180,far,204,0.227092709270927,0.6899189918991899,0.3021602160216025,2.3872054792162323,mouse622180far204
0,mouse622180,far,208,0.2081908190819082,0.7115211521152116,0.4587758775877589,2.377498685593748,mouse622180far208
0,mouse622180,far,211,0.1536453645364536,0.47497749774977505,0.5675967596759676,2.377498685593748,mouse622180far211
0,mouse622180,far,209,0.17605760576057602,0.5981098109810983,0.3764176417641763,2.377498685593748,mouse622180far209
0,mouse622180,far,293,0.2368136813681368,0.7323132313231323,0.4061206120612063,2.3818322778902803,mouse622180far293
0,mouse622180,far,221,0.2108910891089109,0.6307830783078311,0.3583258325832584,2.3818322778902803,mouse622180far221
0,mouse622180,far,224,0.1795679567956796,0.7123312331233124,0.3610261026102611,2.3818322778902803,mouse622180far224
0,mouse622180,far,222,0.1757875787578758,0.6901890189018902,0.3245724572457248,2.3864199127563452,mouse622180far222
0,mouse622180,far,232,0.1630963096309631,0.712871287128713,0.4034203420342034,2.396351393264352,mouse622180far232
0,mouse622180,far,231,0.1895589558955895,0.6332133213321334,0.3702070207020701,2.396351393264352,mouse622180far231
0,mouse622180,far,238,0.2311431143114312,0.6099909990999101,0.3540054005400542,2.4016921118244947,mouse622180far238
0,mouse622180,far,241,0.2168316831683169,0.6869486948694872,0.3626462646264624,2.4016921118244947,mouse622180far241
0,mouse622180,far,242,0.2681368136813681,0.6766876687668769,0.3513051305130511,2.4072806234421447,mouse622180far242
