area,n,median_delta,W,p,p_fdr,significant_fdr
HPF,72,0.17982620536390473,0.0,1.658751802376397e-13,3.1101596294557445e-13,True
VISam5,3,0.31868281401189047,0.0,0.25,0.25280898876404495,False
MOs6b,27,0.2537194741421366,0.0,1.4901161193847656e-08,2.0632377037635216e-08,True
RPF,33,0.2000466909188706,0.0,2.3283064365386963e-10,3.379799665943269e-10,True
bsc,3,0.2249220203428468,0.0,0.25,0.25280898876404495,False
SEZ,20,0.23033423923973145,0.0,1.9073486328125e-06,2.4177658725792255e-06,True
SSp-ll4,19,0.2673926427887367,3.0,1.9073486328125e-05,2.384185791015625e-05,True
SSp-ll2/3,89,0.2691361244054834,10.0,3.5801967122467777e-16,8.261992412877179e-16,True
MRN,33,0.18231067940484053,0.0,2.3283064365386963e-10,3.379799665943269e-10,True
MD,296,0.1883137488108131,9.0,3.0073970118138695e-50,1.6916608191453015e-49,True
ccs,9,0.23998823630464378,0.0,0.00390625,0.00428734756097561,True
SSp-tr6b,9,0.2100420928438852,0.0,0.00390625,0.00428734756097561,True
SSp-tr6a,74,0.2816477412186271,8.0,1.0721726147603202e-13,2.0530964963495492e-13,True
VISa4,57,0.3055775848771084,10.0,8.741002756899113e-11,1.3333733018998648e-10,True
VISa2/3,65,0.33045459643229247,0.0,2.4051050298460756e-12,4.008508383076793e-12,True
