mouse,probe_position,unitID,VL_pre,VL_stimOn,VL_post,angle_pre_ch15,angle_stimOn_ch15,angle_post_ch15,Nspikes_pre,Nspikes_StimOn,Nspikes_post,Fspikes_pre,Fspikes_StimOn,Fspikes_post,distance_peakch_stim_tip,error_waveform,universal_ID,waveform_halfwidth,waveform_duration,waveform_REP,cluster
mouse577578,far,13,0.0281040822800356,0.0476104465515816,0.1057310904993959,5.238627873605181,0.1374610809376057,5.911288375529357,547.0,550.0,421.0,5.47,5.5,4.21,3.217335854398791,0.0611638002942096,mouse577578far13,0.2257425742574258,0.7209720972097211,0.3928892889288929,0
mouse577578,far,23,0.0491712602053966,0.0288297460042626,0.0466379422838777,0.7315670736399069,3.978940684163186,0.0909461072895965,995.0,1008.0,1008.0,9.950000000000001,10.08,10.08,3.1636608541371816,0.0245904992123644,mouse577578far23,0.2125112511251126,0.6510351035103511,0.377767776777678,0
mouse577578,far,517,0.1112463778542232,0.0240626085718076,0.0369024661742735,4.580171315737989,5.0276819826957775,4.761287238559073,244.0,462.0,423.0,2.44,4.62,4.23,3.1674121929423715,0.037101619056864,mouse577578far517,0.2025202520252025,0.6648064806480649,0.3864086408640864,0
mouse577578,far,24,0.0449317198040959,0.0174145035527607,0.0147589828713869,3.6348182951389814,4.096106562453128,0.5330577798856438,1080.0,1001.0,1003.0,10.8,10.01,10.03,3.1674121929423715,0.0141073634188668,mouse577578far24,0.1757875787578758,0.7263726372637264,0.3189018901890191,0
mouse577578,far,25,0.0342077009993349,0.0327901357072745,0.0135303979516681,1.8191289163377429,3.097304340533415,0.2511674865774678,623.0,803.0,717.0,6.23,8.03,7.17,3.1674121929423715,0.0130843873596598,mouse577578far25,0.1992799279927993,0.7120612061206121,0.3796579657965798,0
mouse577578,far,37,0.0107769495136795,0.0708149088195811,0.09739679122899901,5.892353237752544,1.8968614138979891,1.9070632780567445,278.0,85.0,175.0,2.7800000000000002,0.85,1.75,3.1536684987487202,0.0938725098715428,mouse577578far37,0.1887488748874888,0.6831683168316832,0.3499549954995499,0
mouse577578,far,34,0.0512051395300407,0.0558917638998333,0.0555026168370207,0.4380841685772579,4.321897694951609,2.32121707619794,321.0,343.0,326.0,3.21,3.43,3.2600000000000002,3.1536684987487202,0.0235154207783193,mouse577578far34,0.19495949594959502,0.8597659765976599,0.4552655265526552,0
mouse577578,far,38,0.0154871273241839,0.0736096183723303,0.055586788925052005,0.8748025843354992,2.2764997613234548,5.987511872714598,222.0,295.0,326.0,2.22,2.95,3.2600000000000002,3.1410587387057887,0.0136001826985382,mouse577578far38,0.1776777677767776,0.6696669666966699,0.3494149414941493,0
mouse577578,far,39,0.0139781157167852,0.0455688376328209,0.0462698811067956,0.4507656778407631,1.9335019941028604,3.497636310996062,636.0,633.0,579.0,6.36,6.33,5.79,3.1410587387057887,0.0152598584430446,mouse577578far39,0.1547254725472547,0.7493249324932495,0.3513051305130511,0
mouse577578,far,41,0.0673685846847108,0.101093704116886,0.1480550786908351,2.0456597106953787,1.7485781059474093,2.126566135444464,79.0,99.0,69.0,0.79,0.99,0.6900000000000001,3.1410587387057887,0.0615623192219951,mouse577578far41,0.2033303330333034,0.2997299729972997,0.3278127812781279,1
