mouse,probe_position,unitID,VL_pre,VL_stimOn,VL_post,angle_pre_ch15,angle_stimOn_ch15,angle_post_ch15,MMR_Pre,MMR_stimOn,MMR_Post,Nspikes_pre,Nspikes_StimOn,Nspikes_post,Fspikes_pre,Fspikes_StimOn,Fspikes_post,inst_amp_pre_peak_ch,inst_amp_StimOn_peak_ch,inst_amp_post_peak_ch,distance_peakch_stim_tip,error_waveform,universal_ID,waveform_halfwidth,waveform_duration,waveform_REP,cluster
mouse631538,close,293,0.0343299013917082,0.4747840431275419,0.0489872773514778,1.6633493599941942,0.4571162615078479,3.0289571202199093,0.215505936213447,0.7764383996791858,0.2022250992179273,838.0,909.0,931.0,8.38,9.09,9.31,53.1197516221581,601.6997439495448,55.174695566989186,0.5408326913195984,0.0469898419368989,mouse631538close293,0.1668766876687668,0.3448244824482448,0.3113411341134116,1
mouse631538,close,291,0.0470695634541699,0.205564985344388,0.0482248614559541,4.933391351345537,0.2719723857863237,5.6240444381198715,0.2260805507717103,0.5004139065893001,0.2114955090541489,687.0,900.0,673.0,6.87,9.0,6.73,53.1197516221581,601.6997439495448,55.174695566989186,0.5408326913195984,0.0152836610661626,mouse631538close291,0.1628262826282628,0.2840684068406841,0.2108910891089109,1
mouse631538,close,294,0.0401919727318043,0.5906878131610233,0.0361862016889215,1.7296005464204975,0.6876661264425844,5.749689912192526,0.3123735437881327,0.7860996444609222,0.2116212763704542,332.0,244.0,310.0,3.3200000000000003,2.44,3.1,53.17416604479314,481.60802078260787,55.01461575087321,0.525,0.0250929034762487,mouse631538close294,0.1868586858685869,0.4498649864986499,0.3540054005400541,0
mouse631538,close,295,0.0627813722304307,0.082188346027713,0.0388129889617186,3.8329027119746564,2.2392844798275813,4.461527554197793,0.2781438220386031,0.3863774664091254,0.2092542566720463,266.0,301.0,370.0,2.66,3.0100000000000002,3.7,53.17416604479314,481.60802078260787,55.01461575087321,0.525,0.0682398202310581,mouse631538close295,0.1763276327632764,0.9064806480648068,0.4844284428442843,0
mouse631538,close,297,0.1434036112797697,0.0961988805132641,0.0748573170862466,1.5405970260125574,3.701662445687066,6.013424043571184,0.4484036628634227,0.4515768368096579,0.3693880591534902,85.0,176.0,174.0,0.85,1.76,1.74,53.59484382379551,530.0562207364736,55.394223129991744,0.544288526426931,0.0175622894365251,mouse631538close297,0.2017101710171017,0.8060306030603062,0.4288028802880289,0
mouse631538,close,299,0.1472592861227953,0.1093255866128602,0.1334853623163242,3.6554557855238303,2.4085466469579258,3.640051066945393,0.4604727682966062,0.3372025191959669,0.4273918287774231,97.0,233.0,132.0,0.97,2.33,1.32,53.59484382379551,530.0562207364736,55.394223129991744,0.544288526426931,0.060504876877405994,mouse631538close299,0.1849684968496849,0.705850585058506,0.4771377137713771,0
mouse631538,close,461,0.0447524880679556,0.0978772415170751,0.0274421042033267,4.330123937818319,3.2036705811240465,3.8479521841724402,0.323178792289325,0.3538727427650058,0.2628369354589472,533.0,231.0,516.0,5.33,2.31,5.16,53.22591464715161,834.3082418024749,55.87139066286638,0.544288526426931,0.0177287103018006,mouse631538close461,0.1884788478847885,0.7258325832583259,0.361836183618362,0
mouse631538,close,302,0.1155412566974267,0.2456022750061644,0.0958698040634315,1.3854649125191405,1.7372324023118388,3.7264461902996135,0.4052532020111664,0.628094118465529,0.4041334658533012,92.0,63.0,74.0,0.92,0.63,0.74,53.22591464715161,834.3082418024749,55.87139066286638,0.544288526426931,0.0397649718495429,mouse631538close302,0.2341134113411341,0.6939693969396942,0.4047704770477046,3
mouse631538,close,301,0.13066751746727198,0.1917908332086655,0.0598637869522559,3.6822495213325266,1.170527131797243,3.6533931226078686,0.5091228219918836,0.46285738214565003,0.3268023232214425,78.0,127.0,130.0,0.78,1.27,1.3,53.22591464715161,834.3082418024749,55.87139066286638,0.544288526426931,0.0287598811492665,mouse631538close301,0.1541854185418542,0.6985598559855987,0.5794779477947795,0
mouse631538,close,304,0.1546997942163703,0.0817695264831961,0.0268569796648856,3.977377934953149,0.5127190750627082,3.8521724557362136,0.3465681422148339,0.4975571925032066,0.3296986063706423,129.0,58.0,171.0,1.29,0.58,1.71,53.423564390990784,685.4423588519724,55.89676400628537,0.55,0.0363740789878138,mouse631538close304,0.1474347434743474,0.7571557155715574,0.3807380738073808,0
