mouse,probe_position,unitID,VL_pre,VL_stimOn,VL_post,angle_pre_ch15,angle_stimOn_ch15,angle_post_ch15,MMR_Pre,MMR_stimOn,MMR_Post,Nspikes_pre,Nspikes_StimOn,Nspikes_post,Fspikes_pre,Fspikes_StimOn,Fspikes_post,inst_amp_pre_peak_ch,inst_amp_StimOn_peak_ch,inst_amp_post_peak_ch,distance_peakch_stim_tip,error_waveform,universal_ID,waveform_halfwidth,waveform_duration,waveform_REP,cluster
mouse631538,far,15,0.0156542848333244,0.0175921649375994,0.0228614858544856,5.190171121044873,4.218902975723449,1.1183103457192871,0.1437206150100353,0.1081339553211602,0.157105478868242,1431.0,1940.0,1673.0,14.31,19.400000000000002,16.73,32.89606952089784,112.43987094386576,33.06579462489277,3.5392442696146307,0.0280478054307462,mouse631538far15,0.2268226822682267,0.487938793879388,0.3086408640864087,1
mouse631538,far,20,0.0267350957575041,0.0417833476293989,0.0540242596920675,5.61449692227488,0.512140157764577,6.131365718949847,0.2514141000252269,0.1745067785167104,0.2460929365715828,455.0,679.0,527.0,4.55,6.79,5.2700000000000005,32.926161410007595,110.67305169023498,33.02315510900034,3.5203870525838488,0.0407893017794882,mouse631538far20,0.2033303330333034,0.499009900990099,0.2929792979297931,0
mouse631538,far,22,0.027947291972157,0.0173645970149397,0.0471074538135792,5.3224778027761745,3.1780971540477596,0.2008741310000485,0.1572612670800238,0.1513855102206832,0.1891779222569655,1015.0,1290.0,1014.0,10.15,12.9,10.14,31.83136056254375,109.67435262581827,32.74215137872352,3.5203870525838488,0.0342312916248049,mouse631538far22,0.1747074707470748,0.5181818181818182,0.2878487848784881,0
mouse631538,far,24,0.1815902442120478,0.0599765068913855,0.2429225823426251,2.3367129241446802,2.465208715478544,2.4290795795890228,0.3224537292434372,0.2475375155643846,0.4289563650878287,1259.0,1544.0,1305.0,12.59,15.44,13.05,31.83136056254375,109.67435262581827,32.74215137872352,3.5203870525838488,0.0161650437827301,mouse631538far24,0.0920792079207921,0.20900090009000896,0.1088208820882088,2
mouse631538,far,25,0.0193813650341626,0.025725626110354997,0.0343508149608175,5.412202993674681,4.620840532830523,4.776542508583201,0.143797777398939,0.1295380786992085,0.1891263226045746,908.0,1215.0,888.0,9.08,12.15,8.88,31.83136056254375,109.67435262581827,32.74215137872352,3.5203870525838488,0.0289813306228829,mouse631538far25,0.1676867686768677,0.5046804680468049,0.2770477047704769,0
mouse631538,far,28,0.0323663191712733,0.0112419057687058,0.030861235045980002,2.2741552465860138,4.1342360359220836,1.5988847701176938,0.1421975465768366,0.1148189300367131,0.1491396765917792,1454.0,1742.0,1354.0,14.540000000000001,17.42,13.540000000000001,32.898334746533926,113.0850338163218,33.38134325069069,3.5016067740395984,0.0334508240896995,mouse631538far28,0.2551755175517552,0.5300630063006301,0.340774077407741,1
mouse631538,far,30,0.1035282609841013,0.0226712028605134,0.0815821170419433,0.4952593218142357,0.3057440615786579,0.9767036458917332,0.2357724210223697,0.1677452979060225,0.2251196579125851,957.0,1089.0,705.0,9.57,10.89,7.05,32.898334746533926,113.0850338163218,33.38134325069069,3.5016067740395984,0.022341305464810998,mouse631538far30,0.1992799279927993,0.470927092709271,0.2978397839783979,0
mouse631538,far,35,0.1113717679363706,0.0453570168061276,0.0830884566532185,3.5641158378824587,2.2958914508944024,3.6998771399448813,0.2793641641556469,0.1768324715666594,0.2119527298682543,709.0,937.0,820.0,7.09,9.370000000000001,8.2,31.83814566798418,110.22452169743299,33.03064285654557,3.5016067740395984,0.037350946616807,mouse631538far35,0.1563456345634564,0.4482448244824483,0.3010801080108012,0
mouse631538,far,34,0.0257225698636372,0.0125667688815902,0.0312102128301882,4.977990085013313,3.4802671096787385,5.6359732691371836,0.1457922422910969,0.1380045838253588,0.1429590004461522,1403.0,1396.0,1345.0,14.030000000000001,13.96,13.450000000000001,31.83814566798418,110.22452169743299,33.03064285654557,3.5016067740395984,0.0291881695298768,mouse631538far34,0.2130513051305131,0.4922592259225923,0.3445544554455446,1
mouse631538,far,26,0.1698458782560111,0.0998939765279254,0.1766867930975216,5.030393830909678,1.4814031564065355,5.844982188283683,0.5010357786331128,0.3840003868970624,0.4236328050405252,60.0,116.0,85.0,0.6,1.16,0.85,32.55454565864563,111.99502652564215,32.907205788096014,3.5016067740395984,0.0588135386546553,mouse631538far26,0.1603960396039604,0.4579657965796579,0.2792079207920792,0
