mouse,probe_position,unitID,VL_pre,VL_stimOn,VL_post,angle_pre_ch15,angle_stimOn_ch15,angle_post_ch15,MMR_Pre,MMR_stimOn,MMR_Post,Nspikes_pre,Nspikes_StimOn,Nspikes_post,Fspikes_pre,Fspikes_StimOn,Fspikes_post,inst_amp_pre_peak_ch,inst_amp_StimOn_peak_ch,inst_amp_post_peak_ch,distance_peakch_stim_tip,error_waveform,universal_ID,waveform_halfwidth,waveform_duration,waveform_REP,cluster
mouse657904,close,9,0.2008809398799616,0.0235925081930674,0.1647808605034058,1.3447377575574573,4.103133960258457,0.1032260611638871,0.5251798051381067,0.3439259297817848,0.5228374129141664,85.0,166.0,94.0,0.85,1.6600000000000001,0.9400000000000001,22.22812819400868,69.46677231752264,23.089226828959784,3.2890918199405754,0.05364808850594901,mouse657904close9,0.1965796579657965,0.6056705670567056,0.3669666966696673,0
mouse657904,close,16,0.0241715102097953,0.0415802590889411,0.0366922356444038,0.713038003241265,0.199027817744966,0.9321660421211893,0.1842077051462965,0.140842546232213,0.1324862810302494,1000.0,978.0,1208.0,10.0,9.78,12.08,22.901165676809054,70.7647263600128,23.611485367044345,3.2537478390311687,0.0417144770417743,mouse657904close16,0.1944194419441944,0.5241224122412241,0.3410441044104411,0
mouse657904,close,24,0.1126891807520597,0.0613189536290362,0.03128130182973,3.9537242176092326,2.804346423140552,3.9724639228092338,0.3005466723349655,0.3055175902492437,0.2551005980098815,237.0,331.0,387.0,2.37,3.31,3.87,22.887253702628588,70.55124024876929,23.51051842417571,3.2184041076285,0.0726302226296938,mouse657904close24,0.1792979297929793,0.6008100810081008,0.3089108910891089,0
mouse657904,close,37,0.028351049041391,0.0070151951823954,0.0280869162082867,4.7319205787073475,1.6924480641580142,5.135244120471944,0.1377737710235213,0.1602095906683967,0.1347279075263631,1826.0,1712.0,1863.0,18.26,17.12,18.63,22.813660216070566,70.51802719227852,23.31274187894675,3.2184041076285,0.0571807241844418,mouse657904close37,0.2516651665166517,0.5816381638163817,0.4153015301530155,0
mouse657904,close,58,0.0275195280091389,0.0351453533936689,0.0153882506994032,1.693400300760566,2.7069257473717534,1.9952539449597133,0.1413916105454307,0.1181218126754541,0.1795884373345384,1122.0,904.0,1090.0,11.22,9.040000000000001,10.9,24.014014569471716,73.33250730402331,24.845574422348317,3.0949555731867946,0.0467710664372028,mouse657904close58,0.2000900090009001,0.5964896489648965,0.4009900990099012,0
mouse657904,close,74,0.0559841166188252,0.0861010107061522,0.0307572430674951,1.984763899677411,0.1278138060775994,1.103280299012158,0.2997859842514347,0.4687274709410133,0.2938569789437807,250.0,193.0,273.0,2.5,1.93,2.73,23.51178328165927,71.05199515943937,24.627927018954548,3.0069710673699532,0.0390655503556843,mouse657904close74,0.1298829882988298,0.2711071107110712,0.2422142214221421,1
mouse657904,close,77,0.0373179058447634,0.0214821282435024,0.0162569776203415,1.6613250215165554,3.343086931813239,0.7511538320216805,0.1906961744783323,0.32287346717666304,0.1502568956976465,507.0,312.0,750.0,5.07,3.12,7.5,24.429169862418647,74.22952860876278,25.419039511988878,2.9716367543830113,0.0304686061120989,mouse657904close77,0.2805580558055806,0.5756975697569757,0.3645364536453646,0
mouse657904,close,79,0.0411452748940984,0.0434113517266144,0.0994384278469428,6.126692433915207,2.063863540239374,0.2877696036789167,0.3634900324136121,0.331390658741616,0.3599364608922363,196.0,244.0,184.0,1.96,2.44,1.84,23.49299907823688,71.68038465662327,24.518118152715225,2.9544458025152536,0.0594959921139823,mouse657904close79,0.1371737173717371,0.4201620162016203,0.2432943294329432,1
mouse657904,close,82,0.04349522083640899,0.0440601425390758,0.0800308177768376,2.70434283703534,5.293151026366972,1.4990648288386388,0.2621402743550206,0.210127630548635,0.4004440061171585,447.0,649.0,378.0,4.47,6.49,3.7800000000000002,23.49299907823688,71.68038465662327,24.518118152715225,2.9544458025152536,0.0843457282792671,mouse657904close82,0.2227722772277228,0.5862286228622863,0.3480648064806481,0
mouse657904,close,80,0.0094496013923978,0.0050719538157999,0.0680348777499569,2.4426536007598085,3.749656738784454,5.221897971026307,0.2800988799917967,0.1639331387509094,0.3002008335658994,245.0,441.0,184.0,2.45,4.41,1.84,24.82891568248924,73.57827694741705,25.53389701800177,2.93630294758562,0.0304548514051535,mouse657904close80,0.2276327632763276,0.6067506750675068,0.3672367236723671,0
mouse657904,close,94,0.0710016419747632,0.0488671711404213,0.0698792244571943,1.0394466418136423,1.8493349150752167,1.0495896051108515,0.1481953594279634,0.1519323376795721,0.1822140379627935,1955.0,2132.0,2262.0,19.55,21.32,22.62,25.86276016808924,75.84778696515929,26.328996860160395,2.8837909078156136,0.065748253877913,mouse657904close94,0.1533753375337534,0.3210621062106211,0.2478847884788479,1
