mouse,probe_position,unitID,VL_pre,VL_stimOn,VL_post,angle_pre_ch15,angle_stimOn_ch15,angle_post_ch15,MMR_Pre,MMR_stimOn,MMR_Post,Nspikes_pre,Nspikes_StimOn,Nspikes_post,Fspikes_pre,Fspikes_StimOn,Fspikes_post,inst_amp_pre_peak_ch,inst_amp_StimOn_peak_ch,inst_amp_post_peak_ch,distance_peakch_stim_tip,error_waveform,universal_ID,waveform_halfwidth,waveform_duration,waveform_REP,cluster
mouse598181,close,6,0.0259410462449359,0.1787181453328127,0.0277578373956499,3.5841747899084484,2.469530419321333,4.681109274071658,0.1775871761353219,0.38681009988652,0.2404610488180926,1079.0,622.0,782.0,10.790000000000001,6.22,7.82,25.525658730957012,69.15987737379157,26.934738556848092,2.379732127782453,0.0456846460242466,mouse598181close6,0.1887488748874888,0.5119711971197121,0.3461746174617461,0
mouse598181,close,743,0.0592652057710828,0.0186760088493511,0.0768814206299136,0.6071152558247196,3.24311059229543,2.6947136082870866,0.2443577404589435,0.2786180037066195,0.2925858131122815,218.0,178.0,199.0,2.18,1.78,1.99,24.587064506943747,66.47476750065707,25.967632870377802,2.346939496450644,0.0316265615320571,mouse598181close743,0.1547254725472547,0.2746174617461746,0.2319531953195319,2
mouse598181,close,12,0.0298904806385731,0.134887330603354,0.0165360795216813,1.7114140970015388,2.3904898363225606,1.7368081769958232,0.3185942836678941,0.5340353600558237,0.4649387542082593,113.0,60.0,83.0,1.1300000000000001,0.6,0.8300000000000001,24.882623252872424,69.58984603775697,26.315076229373744,2.3142223315835486,0.0585691591010251,mouse598181close12,0.1315031503150315,0.28784878487848803,0.2173717371737173,2
mouse598181,close,15,0.0163993837039101,0.0711380201474571,0.0184715721484265,0.3769334632457264,4.423722251165434,2.4826009841254977,0.2961374444356199,0.3605003070171335,0.2359307739511807,310.0,333.0,356.0,3.1,3.33,3.56,24.882140834226018,71.99039107295675,26.438890572324468,2.258871399615304,0.0329001118955377,mouse598181close15,0.1182718271827183,0.2897389738973898,0.2435643564356435,2
mouse598181,close,747,0.0900637106055725,0.1156691444961543,0.0784632077317793,5.034298521779915,4.2967963501053354,5.433572868583775,0.3357723189266615,0.4218019044641125,0.3161652505226821,180.0,160.0,303.0,1.8,1.6,3.0300000000000002,25.12081057668653,74.81583401378184,26.581968111620068,2.258871399615304,0.0653139091152213,mouse598181close747,0.18901890189018897,0.3453645364536454,0.3567056705670567,0
mouse598181,close,34,0.0424766661679588,0.2360144807985911,0.0200869499431892,2.9226243350363763,0.1553354922086522,0.0306586567651216,0.1628897420872558,0.3712100367832683,0.113843107115663,2322.0,1842.0,2270.0,23.22,18.42,22.7,26.628233027937807,82.18394663325672,27.66370322299209,2.170973284036448,0.0283021229110879,mouse598181close34,0.13204320432043198,0.2500450045004501,0.2092709270927093,2
mouse598181,close,38,0.0203277266201866,0.1181519156667061,0.0075159926940383,0.4967031533094599,3.7396830281717612,1.674305461786581,0.158088055941216,0.2600712780689745,0.1076288743202768,1671.0,1096.0,1447.0,16.71,10.96,14.47,27.07981885997776,83.14869704711985,28.15810360739785,2.112315080663868,0.0240171759020407,mouse598181close38,0.1844284428442844,0.4250225022502249,0.3062106210621063,0
mouse598181,close,45,0.0062415220497399,0.1032946737150999,0.029777513478074,5.481536060724737,2.7983794144386995,3.1698591144747885,0.1414644893642469,0.3057895440354672,0.1217406086082586,1944.0,693.0,2070.0,19.44,6.93,20.7,27.178359984120053,86.82929830196899,28.189176570282573,2.057000243072421,0.0351668857097318,mouse598181close45,0.1836183618361836,0.3661566156615661,0.2441044104410441,0
mouse598181,close,46,0.0613765887941295,0.028755926044648,0.0399049977359915,5.535202290966513,4.820010489586926,2.6106998557274483,0.1807852827012122,0.2464688574045844,0.1528391245196165,1310.0,793.0,1156.0,13.1,7.930000000000001,11.56,27.969947268326784,92.63983487108473,28.965365006676016,2.057000243072421,0.0333150212858169,mouse598181close46,0.135013501350135,0.2611161116111612,0.1906390639063906,2
mouse598181,close,753,0.0133248693887281,0.1699741487859538,0.0940606511414176,5.3747356559434865,3.4175020973549763,2.0687149714793263,0.243312185624364,0.4396649769498818,0.4128404663688757,309.0,113.0,209.0,3.09,1.1300000000000001,2.09,27.455888929483628,88.75343716870603,28.32901502368573,2.057000243072421,0.0753050271397207,mouse598181close753,0.1957695769576958,0.5532853285328533,0.3318631863186319,0
